2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.TwoPassDataIndexer - done. 34 events
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.TwoPassDataIndexer - Indexing...
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event OTHER:[bow=general, bow=query]
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event OTHER:[bow=suggestion, bow=for, bow=improvement]
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event OTHER:[bow=feedback, bow=about, bow=service]
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event OTHER:[bow=information, bow=request]
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event MAINTENANCE:[bow=water, bow=leak, bow=from, bow=ceiling]
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event MAINTENANCE:[bow=power, bow=outage]
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event MAINTENANCE:[bow=door, bow=lock, bow=broken]
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event MAINTENANCE:[bow=plumbing, bow=issue]
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event UTILITIES:[bow=water, bow=supply, bow=disruption]
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event UTILITIES:[bow=electricity, bow=fluctuation]
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event UTILITIES:[bow=gas, bow=leakage]
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event SECURITY:[bow=unauthorized, bow=entry]
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event NOISE:[bow=loud, bow=music, bow=from, bow=neighbor]
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event NOISE:[bow=construction, bow=noise]
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event NOISE:[bow=party, bow=noise, bow=after, bow=midnight]
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event NOISE:[bow=dogs, bow=barking, bow=continuously]
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event NOISE:[bow=noise, bow=from, bow=renovation]
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event CLEANLINESS:[bow=common, bow=area, bow=unclean]
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event CLEANLINESS:[bow=pest, bow=infestation]
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event PARKING:[bow=visitor, bow=taking, bow=resident, bow=parking]
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event PARKING:[bow=blocked, bow=driveway]
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.AbstractDataIndexer - Dropped event PARKING:[bow=parking, bow=space, bow=insufficient]
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.TwoPassDataIndexer - done.
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.TwoPassDataIndexer - Sorting and merging events... 
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.AbstractDataIndexer - done. Reduced 12 events to 8.
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.TwoPassDataIndexer - Done indexing in 0.02 s.
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - Incorporating indexed data for training...
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - done.
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 	Number of Event Tokens: 8 
	 Number of Outcomes: 7 
	 Number of Predicates: 2
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - ...done.
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - Computing model parameters ...
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - Performing 100 iterations.
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 1 - loglikelihood=-23.350921788663758	0.0
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 2 - loglikelihood=-19.71278736975734	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 3 - loglikelihood=-18.58105921610244	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 4 - loglikelihood=-17.924360419831487	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 5 - loglikelihood=-17.49489112561246	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 6 - loglikelihood=-17.191929732795057	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 7 - loglikelihood=-16.96668850061117	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 8 - loglikelihood=-16.792632266176586	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 9 - loglikelihood=-16.65408037421186	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 10 - loglikelihood=-16.541167884064734	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 11 - loglikelihood=-16.447376698829306	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 12 - loglikelihood=-16.36822654012909	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 13 - loglikelihood=-16.300535981448064	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 14 - loglikelihood=-16.24198341203894	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 15 - loglikelihood=-16.19083486195093	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 16 - loglikelihood=-16.14576908814216	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 17 - loglikelihood=-16.105761642305072	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 18 - loglikelihood=-16.07000594625993	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 19 - loglikelihood=-16.037858286015254	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 20 - loglikelihood=-16.008798672728876	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 21 - loglikelihood=-15.98240247486808	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 22 - loglikelihood=-15.958319514393267	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 23 - loglikelihood=-15.936258431680933	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 24 - loglikelihood=-15.915974832147828	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 25 - loglikelihood=-15.897262188660838	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 26 - loglikelihood=-15.879944780059327	0.4166666666666667
